layer,name,direction,path,parser,encoder,runtime,tests,golden_vector,runtime_references,test_references,blockers,relevance,phase
UMAC,MacAccess,MAC/abhängig,crates/tetra-pdus/src/umac/pdus/mac_access.rs,teilweise,teilweise,blockiert,vorhanden,vorhanden,7,2,panic!,"Single-Site, Funkzugang",Phase 0 – Protokollfundament
UMAC,MacDBlck,MAC/abhängig,crates/tetra-pdus/src/umac/pdus/mac_d_blck.rs,vorhanden,vorhanden,ohne offensichtlichen Blocker,fehlt,nicht nachgewiesen,2,0,,"Single-Site, Funkzugang",Phase 0 – Protokollfundament
UMAC,MacData,MAC/abhängig,crates/tetra-pdus/src/umac/pdus/mac_data.rs,teilweise,teilweise,blockiert,fehlt,nicht nachgewiesen,6,0,panic!;unreachable!,"Single-Site, Funkzugang",Phase 0 – Protokollfundament
UMAC,MacEndDl,MAC/abhängig,crates/tetra-pdus/src/umac/pdus/mac_end_dl.rs,vorhanden,vorhanden,ohne offensichtlichen Blocker,fehlt,nicht nachgewiesen,10,0,,"Single-Site, Funkzugang",Phase 0 – Protokollfundament
UMAC,MacEndHu,MAC/abhängig,crates/tetra-pdus/src/umac/pdus/mac_end_hu.rs,vorhanden,vorhanden,ohne offensichtlichen Blocker,fehlt,nicht nachgewiesen,5,0,,"Single-Site, Funkzugang",Phase 0 – Protokollfundament
UMAC,MacEndUl,MAC/abhängig,crates/tetra-pdus/src/umac/pdus/mac_end_ul.rs,vorhanden,vorhanden,ohne offensichtlichen Blocker,fehlt,nicht nachgewiesen,7,0,,"Single-Site, Funkzugang",Phase 0 – Protokollfundament
UMAC,MacFragDl,MAC/abhängig,crates/tetra-pdus/src/umac/pdus/mac_frag_dl.rs,vorhanden,vorhanden,ohne offensichtlichen Blocker,fehlt,nicht nachgewiesen,11,0,,"Single-Site, Funkzugang",Phase 0 – Protokollfundament
UMAC,MacFragUl,MAC/abhängig,crates/tetra-pdus/src/umac/pdus/mac_frag_ul.rs,vorhanden,vorhanden,ohne offensichtlichen Blocker,fehlt,nicht nachgewiesen,6,0,,"Single-Site, Funkzugang",Phase 0 – Protokollfundament
UMAC,MacResource,MAC/abhängig,crates/tetra-pdus/src/umac/pdus/mac_resource.rs,vorhanden,teilweise,blockiert,vorhanden,vorhanden,32,3,panic!,"Single-Site, Funkzugang",Phase 0 – Protokollfundament
UMAC,MacSync,MAC/abhängig,crates/tetra-pdus/src/umac/pdus/mac_sync.rs,vorhanden,vorhanden,ohne offensichtlichen Blocker,fehlt,nicht nachgewiesen,11,0,,"Single-Site, Funkzugang",Phase 0 – Protokollfundament
UMAC,MacSysinfo,MAC/abhängig,crates/tetra-pdus/src/umac/pdus/mac_sysinfo.rs,teilweise,vorhanden,offene Hinweise,fehlt,nicht nachgewiesen,14,0,FIXME;TODO,"Single-Site, Funkzugang",Phase 0 – Protokollfundament
UMAC,MacUBlck,MAC/abhängig,crates/tetra-pdus/src/umac/pdus/mac_u_blck.rs,vorhanden,vorhanden,ohne offensichtlichen Blocker,fehlt,nicht nachgewiesen,5,0,,"Single-Site, Funkzugang",Phase 0 – Protokollfundament
UMAC,MacUSignal,MAC/abhängig,crates/tetra-pdus/src/umac/pdus/mac_u_signal.rs,vorhanden,vorhanden,ohne offensichtlichen Blocker,vorhanden,vorhanden,7,2,,"Single-Site, Funkzugang",Phase 0 – Protokollfundament
